id,time,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,label_01,label_02,label_03,label_04,label_05,label_06,label_07
12678,1512754207,2407424,103178,1678,52734,1,-3,64,1312,13962,-20240,0,0,0,0,0,0,0,0
9474,1512754207,644352,103128,1371,59866,-1,1,62,8996,10476,-15981,1,0,0,0,0,0,0,0
12678,1512754214,2407424,103184,1676,52722,0,-1,63,1344,13980,-20513,0,0,0,0,0,0,0,0
12678,1512754214,2433024,103186,1675,52662,1,-2,62,1292,13986,-20322,0,0,0,0,0,0,0,0
12678,1512754215,2425856,103181,1675,52662,1,-1,62,1410,14066,-20149,1,0,0,0,0,0,0,0
12678,1512754216,2398208,103186,1678,52628,-1,-1,63,1364,13986,-20367,0,0,0,0,0,0,0,0
12678,1512754217,2377728,103181,1678,52590,0,-2,64,1408,14080,-20340,1,0,0,0,0,0,0,0
12678,1512754218,1846272,103178,1677,52575,-1,-2,63,1472,14024,-20507,1,0,0,0,0,0,0,0
12678,1512754219,793088,103178,1675,52575,1,-2,63,1424,14096,-20628,1,0,0,0,0,0,0,0
12678,1512754220,749312,103178,1672,52571,0,-2,63,1314,14006,-20542,1,0,0,0,0,0,0,0
12678,1512754221,750336,103170,1670,52582,1,-1,63,1362,14094,-20524,1,0,0,0,0,0,0,0
9474,1512754222,622848,103125,1370,59890,-1,1,63,9002,10472,-15968,1,0,0,0,0,0,0,0
12678,1512754224,750336,103172,1667,52593,1,-2,64,1426,13906,-20570,0,0,0,0,0,0,0,0
12678,1512754225,661248,103175,1670,52609,1,-2,63,1442,14012,-20426,0,0,0,0,0,0,0,0
12678,1512754226,2122752,103172,1669,52688,14,26,38,70,15782,-20855,1,0,0,0,0,0,0,0
12678,1512754227,2122752,103178,1678,52824,30,30,50,2324,16552,-21666,1,0,0,0,0,0,0,0
12678,1512754228,745472,103182,1684,53010,31,25,51,2426,16466,-21562,1,0,0,0,0,0,0,0
12678,1512754229,808960,103180,1689,53021,34,30,44,2102,16926,-21743,1,0,0,0,0,0,0,0
9474,1512754232,667136,103130,1362,59989,-1,1,63,9020,10476,-15900,0,0,0,0,0,0,0,0
12678,1512754244,262144,103176,1683,54309,28,12,56,3014,16416,-21632,0,0,0,0,0,0,0,0
12678,1512754245,262272,103179,1682,54513,28,14,54,2994,16448,-21686,1,0,0,0,0,0,0,0
12678,1512754246,4311040,103182,1681,54414,22,19,48,138,14954,-20587,0,0,0,0,0,0,0,0
12678,1512754247,1011712,103185,1688,54184,0,9,63,630,13818,-20396,1,0,0,0,0,0,0,0
12678,1512754248,1011712,103191,1691,54112,-3,5,64,1074,13820,-20583,0,0,0,0,0,0,0,0
12678,1512754249,2180096,103188,1691,53934,1,-2,62,1472,14034,-20439,1,0,0,0,0,0,0,0
12678,1512754250,2244608,103190,1689,53525,1,-2,63,1394,13886,-20480,1,0,0,0,0,0,0,0
12678,1512754251,2347008,103193,1686,53226,1,-2,63,1394,13886,-20480,0,0,0,0,0,0,0,0
12678,1512754252,2347008,103190,1686,53071,0,-2,63,1514,13962,-20595,1,0,0,0,0,0,0,0
9474,1512754253,669440,103130,1337,60257,-1,1,63,9068,10490,-15998,1,0,0,0,0,0,0,0
